SentenceID;Run;Characters
1;1;P1
12;1;P2
17;1;P3
22;1;P4
27;1;P2
32;1;P3
37;1;P4
48;1;P1
53;1;P3
58;1;P4
63;1;P1
68;1;P2
73;1;P4
84;1;P1
89;1;P2
94;1;P3
103;1;P1
105;1;P2
109;1;P3
120;1;P4
2;2;P2
7;2;P3
18;2;P4
23;2;P1
28;2;P3
33;2;P4
38;2;P1
43;2;P2
54;2;P4
59;2;P1
64;2;P2
69;2;P3
74;2;P1
79;2;P2
90;2;P3
95;2;P4
98;2;P2
107;2;P3
111;2;P4
113;2;P1
3;3;P3
8;3;P4
13;3;P1
24;3;P2
29;3;P4
34;3;P1
39;3;P2
44;3;P3
49;3;P1
60;3;P2
65;3;P3
70;3;P4
75;3;P2
80;3;P3
85;3;P4
96;3;P1
100;3;P3
102;3;P4
115;3;P1
117;3;P2
4;4;P4
9;4;P1
14;4;P2
19;4;P3
30;4;P1
35;4;P2
40;4;P3
45;4;P4
50;4;P2
55;4;P3
66;4;P4
71;4;P1
76;4;P3
81;4;P4
86;4;P1
91;4;P2
104;4;P4
106;4;P1
110;4;P2
119;4;P3
5;5;P1
10;5;P2
15;5;P3
20;5;P4
25;5;P2
36;5;P3
41;5;P4
46;5;P1
51;5;P3
56;5;P4
61;5;P1
72;5;P2
77;5;P4
82;5;P1
87;5;P2
92;5;P3
97;5;P1
108;5;P2
112;5;P3
114;5;P4
6;6;P2
11;6;P3
16;6;P4
21;6;P1
26;6;P3
31;6;P4
42;6;P1
47;6;P2
52;6;P4
57;6;P1
62;6;P2
67;6;P3
78;6;P1
83;6;P2
88;6;P3
93;6;P4
99;6;P2
101;6;P3
116;6;P4
118;6;P1
